Bloom filter size (MiB);Block size (bytes);bits to sort;Probe size;Hash time (ms);Sort time (ms);Probe time (ms);Total throughput
1;128;1;268435456;124.307;152.901;54.816;764062045
1;128;2;268435456;10.2395;30.4484;15.3425;3915133400
1;128;3;268435456;10.2398;30.8237;15.1121;3904674687
1;128;4;268435456;10.2204;31.5193;14.9614;3875019839
1;128;5;268435456;10.2474;32.931;15.3733;3774251116
1;128;6;268435456;10.2351;35.6687;15.427;3633750777
1;128;7;268435456;10.2328;75.9025;15.4261;2352446295
1;128;8;268435456;10.2288;66.0807;15.4368;2573147672
1;128;9;268435456;10.2359;66.5406;15.4207;2562905234
1;128;10;268435456;10.2379;67.1164;15.3562;2549909841
1;128;11;268435456;10.2386;68.501;15.3216;2513917768
1;128;12;268435456;10.2799;71.1485;15.3152;2456488579
1;128;13;268435456;10.2758;111.602;15.2927;1792660038
1;128;14;268435456;10.2611;151.751;15.2868;1414100538
1;128;15;268435456;10.2652;102.177;15.2867;1913318890
1;128;16;268435456;10.2911;102.788;15.285;1904911074
1;128;17;268435456;10.2891;104.017;15.285;1888735626
1;128;18;268435456;10.2651;106.822;15.295;1851896020
1;128;19;268435456;10.287;147.122;15.2849;1449313916
1;128;20;268435456;10.2912;187.301;15.287;1190857631
1;128;21;268435456;10.2818;227.542;15.2862;1010353269
1;128;22;268435456;10.2616;138.617;15.2937;1518719283
1;128;23;268435456;10.2788;139.908;15.2922;1507838454
1;128;24;268435456;10.285;142.445;15.2908;1486633968
1;128;25;268435456;10.2837;182.616;15.2921;1215992260
1;128;26;268435456;10.2754;222.975;15.2915;1028150696
1;128;27;268435456;10.2754;263.164;15.2893;890955756
1;128;28;268435456;10.276;303.264;15.2895;786343889
1;128;29;268435456;10.2682;175.374;15.2951;1257312087
1;128;30;268435456;10.2803;178.206;15.2924;1240995792
1;128;31;268435456;10.2684;218.545;15.2899;1045894445
1;128;32;268435456;10.2735;258.711;15.2876;904386679
2;128;1;268435456;11.8021;29.9219;16.2102;3809002890
2;128;2;268435456;10.2785;30.4766;15.5666;3896831053
2;128;3;268435456;10.2771;30.8078;15.383;3889850506
2;128;4;268435456;10.2765;31.4929;15.1431;3862836376
2;128;5;268435456;10.2718;32.8528;15.0004;3797094511
2;128;6;268435456;10.2795;35.6134;15.4097;3634906497
2;128;7;268435456;10.2855;75.7501;15.4735;2353641770
2;128;8;268435456;10.2867;66.2045;15.4625;2568555270
2;128;9;268435456;10.2812;66.3306;15.4895;2564936203
2;128;10;268435456;10.2716;67.1002;15.4596;2547033650
2;128;11;268435456;10.2677;68.4578;15.3859;2516341535
2;128;12;268435456;10.2707;71.4073;15.3171;2450009242
2;128;13;268435456;10.274;111.566;15.2852;1793221630
2;128;14;268435456;11.8196;150.72;15.3788;1409344484
2;128;15;268435456;10.2726;102.156;15.2326;1914479347
2;128;16;268435456;10.2715;102.722;15.241;1906605981
2;128;17;268435456;10.2677;103.939;15.2417;1889979713
2;128;18;268435456;10.2857;106.986;15.2427;1850454200
2;128;19;268435456;10.2843;147.286;15.2409;1448219736
2;128;20;268435456;10.2868;187.395;15.2328;1190620342
2;128;21;268435456;10.2764;227.52;15.2419;1010709870
2;128;22;268435456;10.3045;138.309;15.2628;1521431902
2;128;23;268435456;10.3012;139.574;15.2635;1510830009
2;128;24;268435456;10.3149;142.355;15.272;1487316873
2;128;25;268435456;10.2971;182.64;15.2709;1215942281
2;128;26;268435456;10.3112;222.864;15.2663;1028598173
2;128;27;268435456;11.8153;262.227;15.2736;889247243
2;128;28;268435456;10.3049;303.211;15.2638;786454981
2;128;29;268435456;10.2991;175.18;15.2662;1258583526
2;128;30;268435456;10.308;177.962;15.2673;1242147462
2;128;31;268435456;10.3054;218.362;15.2712;1046506102
2;128;32;268435456;10.3099;258.433;15.2668;905144369
4;128;1;268435456;10.3065;30.2054;53.3762;2521886299
4;128;2;268435456;10.2896;30.3911;15.778;3890549257
4;128;3;268435456;10.3006;30.8099;15.6057;3875403181
4;128;4;268435456;10.3059;31.4888;15.4207;3848100455
4;128;5;268435456;10.3048;32.837;15.175;3787974653
4;128;6;268435456;10.2959;35.6101;15.0385;3653144338
4;128;7;268435456;11.8126;75.4411;15.6194;2325732406
4;128;8;268435456;10.3124;66.056;15.5199;2569856406
4;128;9;268435456;10.292;66.4798;15.5069;2560413284
4;128;10;268435456;10.2916;67.1104;15.5158;2544923408
4;128;11;268435456;10.3044;68.4946;15.4821;2512151460
4;128;12;268435456;10.3022;71.1774;15.4083;2452870723
4;128;13;268435456;10.3003;111.349;15.3391;1795006450
4;128;14;268435456;10.3016;151.687;15.2628;1414289849
4;128;15;268435456;10.2967;102.173;15.1764;1914805470
4;128;16;268435456;10.2999;102.731;15.1779;1907004834
4;128;17;268435456;10.2961;104.058;15.1801;1889238296
4;128;18;268435456;10.2828;106.907;15.1763;1852219417
4;128;19;268435456;11.7954;145.995;15.3817;1445286195
4;128;20;268435456;10.3007;187.245;15.1718;1191492735
4;128;21;268435456;10.3099;227.404;15.1727;1011308626
4;128;22;268435456;10.3075;138.175;15.1795;1523449449
4;128;23;268435456;10.2936;139.891;15.1775;1508718193
4;128;24;268435456;10.3036;142.602;15.1768;1486095856
4;128;25;268435456;10.2901;182.777;15.1724;1215877662
4;128;26;268435456;10.2956;222.715;15.1797;1029556405
4;128;27;268435456;10.3008;263.01;15.176;891720396
4;128;28;268435456;10.2939;303.262;15.1723;786563072
4;128;29;268435456;10.3003;175.362;15.1819;1257888928
4;128;30;268435456;10.2921;178.014;15.1852;1242457773
4;128;31;268435456;10.3374;218.189;15.1769;1047532604
4;128;32;268435456;10.2955;258.577;15.1762;905054993
8;128;1;268435456;10.2901;30.2286;111.386;1632305704
8;128;2;268435456;10.3001;30.4337;53.3764;2516368731
8;128;3;268435456;10.2942;30.8342;15.804;3862691933
8;128;4;268435456;10.2972;31.4482;15.6386;3837846353
8;128;5;268435456;10.29;32.8893;15.4454;3772001301
8;128;6;268435456;10.3012;35.582;15.1997;3645517442
8;128;7;268435456;10.2972;75.7808;15.0569;2361618617
8;128;8;268435456;10.2919;66.0995;15.4729;2571363533
8;128;9;268435456;11.3251;66.2186;15.6808;2538132190
8;128;10;268435456;10.3149;67.1175;15.5248;2544097471
8;128;11;268435456;10.2968;68.4368;15.5289;2513025799
8;128;12;268435456;10.2913;71.1738;15.494;2451178140
8;128;13;268435456;10.2918;111.537;15.3997;1792317201
8;128;14;268435456;10.2996;151.639;15.2895;1414508626
8;128;15;268435456;10.2985;102.138;15.1677;1915343258
8;128;16;268435456;10.3126;102.721;15.0762;1908470562
8;128;17;268435456;10.2905;104.228;15.0818;1888345848
8;128;18;268435456;10.3033;106.864;15.0698;1854108672
8;128;19;268435456;10.2843;147.209;15.0761;1450062214
8;128;20;268435456;10.4308;186.996;15.0829;1192737769
8;128;21;268435456;10.3027;227.404;15.0852;1011639285
8;128;22;268435456;10.2891;138.389;15.075;1522643466
8;128;23;268435456;10.288;139.675;15.0777;1511699142
8;128;24;268435456;10.2974;142.694;15.0688;1486312561
8;128;25;268435456;10.3;182.785;15.0783;1216153884
8;128;26;268435456;10.2999;222.872;15.0752;1029238352
8;128;27;268435456;10.2868;263.176;15.0828;891476874
8;128;28;268435456;10.288;303.245;15.0764;786858190
8;128;29;268435456;10.3;175.455;15.0729;1258084497
8;128;30;268435456;11.8093;177.121;15.1383;1239262137
8;128;31;268435456;10.2908;218.487;15.0791;1046908999
8;128;32;268435456;10.2827;258.726;15.075;904944007
16;128;1;268435456;10.299;30.2608;163.905;1237785241
16;128;2;268435456;10.3039;30.4434;111.393;1630933524
16;128;3;268435456;10.2929;30.8678;53.3938;2509164975
16;128;4;268435456;10.2849;31.4847;15.8627;3832347831
16;128;5;268435456;11.8161;32.4973;16.0279;3690061749
16;128;6;268435456;10.2854;35.6364;15.5022;3634619052
16;128;7;268435456;10.282;75.9045;15.2519;2357765715
16;128;8;268435456;10.3038;65.9762;15.1089;2586119150
16;128;9;268435456;10.2892;66.421;15.5257;2564609949
16;128;10;268435456;10.2919;67.1785;15.5714;2545621036
16;128;11;268435456;11.8116;68.269;15.6746;2481693539
16;128;12;268435456;10.3059;71.1564;15.5097;2454178191
16;128;13;268435456;10.2977;111.38;15.4442;1794968176
16;128;14;268435456;10.291;151.588;15.2899;1415864081
16;128;15;268435456;10.2898;102.181;15.245;1915696779
16;128;16;268435456;10.3037;102.792;15.0866;1909029864
16;128;17;268435456;11.8104;103.247;15.2304;1881129574
16;128;18;268435456;10.291;106.824;15.0282;1857055342
16;128;19;268435456;10.2934;147.088;15.0291;1452344427
16;128;20;268435456;10.2874;187.212;15.027;1193338820
16;128;21;268435456;10.2904;227.368;15.0259;1012609175
16;128;22;268435456;10.2922;138.315;15.0254;1524886296
16;128;23;268435456;10.7906;139.29;14.9898;1512486662
16;128;24;268435456;10.2897;142.496;15.026;1489384054
16;128;25;268435456;10.2873;182.801;15.0223;1217289247
16;128;26;268435456;10.285;222.893;15.0267;1029970734
16;128;27;268435456;10.2906;263.071;15.0227;892446172
16;128;28;268435456;10.2936;303.131;15.0259;787534193
16;128;29;268435456;10.3503;175.243;15.0253;1260066526
16;128;30;268435456;10.2901;178.066;15.0285;1243927133
16;128;31;268435456;10.2976;218.514;15.0343;1047530931
16;128;32;268435456;10.2914;258.534;15.0225;906096646
32;128;1;268435456;10.2999;30.2921;190.597;1105504758
32;128;2;268435456;10.8;30.3265;163.919;1238927590
32;128;3;268435456;10.2947;30.8081;111.406;1635570319
32;128;4;268435456;10.2847;31.4354;53.4225;2513983855
32;128;5;268435456;10.2925;32.889;15.9821;3791898077
32;128;6;268435456;11.8247;35.3269;16.248;3578439193
32;128;7;268435456;10.296;75.8027;15.5965;2369079182
32;128;8;268435456;10.2992;66.0235;15.3577;2598309543
32;128;9;268435456;10.2892;66.3936;15.2358;2592285564
32;128;10;268435456;11.8153;66.3182;15.9765;2538541730
32;128;11;268435456;10.298;68.477;15.5822;2533184784
32;128;12;268435456;10.3039;71.1516;15.5221;2471853092
32;128;13;268435456;10.2998;111.348;15.5109;1804121168
32;128;14;268435456;11.809;150.993;15.3355;1414598806
32;128;15;268435456;10.3064;101.949;15.2787;1928894944
32;128;16;268435456;10.2952;102.755;15.3336;1917390729
32;128;17;268435456;10.2903;104.093;15.1674;1901755480
32;128;18;268435456;10.2953;106.887;15.0468;1866083438
32;128;19;268435456;11.8034;146.11;15.1073;1453823529
32;128;20;268435456;10.2933;187.285;15.0493;1197113120
32;128;21;268435456;10.3;227.323;15.0414;1015738014
32;128;22;268435456;10.2985;138.629;15.0468;1528714290
32;128;23;268435456;11.8141;138.908;15.1381;1512482793
32;128;24;268435456;10.3041;142.556;15.0414;1495244947
32;128;25;268435456;10.2913;182.794;15.0482;1221501080
32;128;26;268435456;10.2947;222.864;15.0497;1033093650
32;128;27;268435456;11.8127;261.605;15.0571;894489576
32;128;28;268435456;10.2816;303.224;15.0462;789122848
32;128;29;268435456;10.3058;175.325;15.0487;1264475924
32;128;30;268435456;10.2823;178.179;15.0456;1247750903
32;128;31;268435456;10.2886;218.399;15.0381;1051359430
32;128;32;268435456;11.8057;257.699;15.0571;906307940
64;128;1;268435456;10.2873;30.1744;203.243;1055801262
64;128;2;268435456;10.299;30.4295;190.619;1109799112
64;128;3;268435456;11.7932;30.493;163.94;1238342731
64;128;4;268435456;10.2864;31.4387;111.414;1640222692
64;128;5;268435456;10.2883;32.836;53.4629;2506366747
64;128;6;268435456;10.3013;35.7253;16.2139;3689173483
64;128;7;268435456;11.7996;75.2745;16.3072;2357006131
64;128;8;268435456;10.2912;66.2132;15.8015;2610401659
64;128;9;268435456;10.2899;66.4422;15.5531;2610625615
64;128;10;268435456;10.2776;67.1651;15.4395;2594885680
64;128;11;268435456;11.8044;68.1889;15.8281;2523437674
64;128;12;268435456;10.2924;71.3584;15.6411;2489511330
64;128;13;268435456;10.2856;111.444;15.5558;1815735622
64;128;14;268435456;10.2946;151.732;15.4237;1427783032
64;128;15;268435456;11.8133;101.273;15.7089;1926655794
64;128;16;268435456;10.2734;102.753;15.5566;1929415969
64;128;17;268435456;10.3008;104.189;15.5173;1910224328
64;128;18;268435456;10.2907;107.021;15.2644;1875862992
64;128;19;268435456;10.3301;147.145;15.1622;1465551613
64;128;20;268435456;10.2843;187.288;15.1615;1202241799
64;128;21;268435456;10.2756;227.427;15.1637;1019181542
64;128;22;268435456;10.2884;138.402;15.1647;1539423704
64;128;23;268435456;11.7925;138.625;15.2891;1523265082
64;128;24;268435456;10.2912;142.801;15.1653;1501357548
64;128;25;268435456;10.2848;182.777;15.1637;1227013476
64;128;26;268435456;10.3022;222.991;15.1666;1036555094
64;128;27;268435456;11.8057;261.666;15.176;897233471
64;128;28;268435456;10.2907;303.302;15.1605;791183935
64;128;29;268435456;10.293;175.799;15.1653;1267504697
64;128;30;268435456;10.2761;178.233;15.1633;1253179492
64;128;31;268435456;11.7897;216.776;15.2076;1055415980
64;128;32;268435456;10.2903;258.595;15.1678;911222960
128;128;1;268435456;10.279;30.2522;209.337;1034144024
128;128;2;268435456;11.7924;30.139;203.229;1053202988
128;128;3;268435456;10.2795;30.9338;190.588;1111486721
128;128;4;268435456;10.2761;31.5433;163.934;1245867096
128;128;5;268435456;10.2732;32.8964;111.451;1633379121
128;128;6;268435456;11.789;35.4393;53.6579;2427090505
128;128;7;268435456;10.289;75.8247;16.6712;2386182291
128;128;8;268435456;10.2753;66.1691;16.382;2616677695
128;128;9;268435456;11.7985;65.91;16.3485;2586113437
128;128;10;268435456;10.2824;67.0179;15.9721;2605986489
128;128;11;268435456;10.272;68.5125;15.9444;2569605912
128;128;12;268435456;10.2874;71.3383;15.9454;2501979805
128;128;13;268435456;11.7811;110.664;15.8824;1813398767
128;128;14;268435456;10.2737;151.592;15.4448;1435132303
128;128;15;268435456;10.2819;102.095;15.7483;1947000069
128;128;16;268435456;10.2702;102.611;15.9783;1937092241
128;128;17;268435456;10.588;103.924;15.8549;1916009213
128;128;18;268435456;10.2807;107.119;15.6206;1880565578
128;128;19;268435456;10.2894;146.892;15.4538;1472034603
128;128;20;268435456;10.2701;187.223;15.3027;1206341623
128;128;21;268435456;11.7935;226.507;15.3069;1019350162
128;128;22;268435456;10.2676;138.359;15.3042;1545789471
128;128;23;268435456;10.2856;139.816;15.3085;1532749474
128;128;24;268435456;11.7729;141.505;15.3671;1504881082
128;128;25;268435456;10.2794;182.704;15.3012;1231286386
128;128;26;268435456;10.2718;222.863;15.307;1039732623
128;128;27;268435456;10.2767;263.249;15.3009;899121034
128;128;28;268435456;11.7707;302.14;15.2998;792060007
128;128;29;268435456;10.2843;175.093;15.3009;1275757718
128;128;30;268435456;10.2644;177.947;15.3004;1258988699
128;128;31;268435456;10.2819;218.486;15.303;1057702697
128;128;32;268435456;11.7966;257.705;15.3002;911473403
256;128;1;268435456;10.2619;30.2378;212.342;1023717779
256;128;2;268435456;10.2597;30.3742;209.369;1035057428
256;128;3;268435456;11.7632;30.5268;203.257;1053111357
256;128;4;268435456;10.2514;31.4646;190.634;1110711794
256;128;5;268435456;10.2593;32.9278;163.963;1239815753
256;128;6;268435456;11.7502;35.3312;111.504;1598368239
256;128;7;268435456;10.255;75.7308;53.7648;1799983466
256;128;8;268435456;10.2573;66.1343;17.5922;2596542454
256;128;9;268435456;10.2535;66.441;17.1601;2599258677
256;128;10;268435456;11.7527;66.5764;17.2161;2558116109
256;128;11;268435456;10.2521;68.6045;16.6963;2558287213
256;128;12;268435456;10.2625;71.313;17.0206;2486592738
256;128;13;268435456;11.7646;110.676;16.463;1810253356
256;128;14;268435456;10.2553;151.701;15.8267;1434166359
256;128;15;268435456;10.266;101.917;16.1278;1949143013
256;128;16;268435456;10.2611;102.883;16.5868;1929741136
256;128;17;268435456;10.3083;104.329;16.5282;1909940935
256;128;18;268435456;10.2535;107.071;16.148;1878851310
256;128;19;268435456;10.2705;147.26;15.8269;1468809818
256;128;20;268435456;11.7694;186.232;15.6549;1203552053
256;128;21;268435456;10.258;227.524;15.5015;1021928298
256;128;22;268435456;10.2566;138.49;15.5001;1546013145
256;128;23;268435456;10.257;139.913;15.4967;1533227107
256;128;24;268435456;11.7606;141.524;15.5945;1505730538
256;128;25;268435456;10.2527;182.887;15.4972;1231187067
256;128;26;268435456;10.2579;222.903;15.5004;1040284797
256;128;27;268435456;11.7384;261.807;15.5075;899524664
256;128;28;268435456;10.2566;303.19;15.4991;793376931
256;128;29;268435456;10.2578;175.489;15.4999;1274467085
256;128;30;268435456;10.2592;178.199;15.4984;1258222237
256;128;31;268435456;11.7534;217.237;15.5219;1057221713
256;128;32;268435456;10.2448;258.496;15.5;914194824
512;128;1;268435456;10.222;30.2433;213.827;1018560073
512;128;2;268435456;10.2626;30.4246;212.33;1023555950
512;128;3;268435456;10.2377;30.762;209.343;1034054000
512;128;4;268435456;10.2273;31.5481;203.245;1055668705
512;128;5;268435456;11.6979;32.6877;190.621;1098921611
512;128;6;268435456;10.2257;35.6305;164.016;1225093931
512;128;7;268435456;10.2274;75.7455;111.668;1297448583
512;128;8;268435456;10.2569;66.0998;54.1723;1920181517
512;128;9;268435456;10.2202;66.6391;19.4256;2541543757
512;128;10;268435456;10.2252;67.2295;18.7299;2544332577
512;128;11;268435456;11.7151;67.971;18.5692;2496300922
512;128;12;268435456;10.232;71.5241;18.4;2452435497
512;128;13;268435456;10.2209;111.535;18.0092;1800699624
512;128;14;268435456;11.8255;150.785;17.363;1418389348
512;128;15;268435456;10.2276;102.187;17.0644;1933960912
512;128;16;268435456;10.2295;102.993;17.4307;1917810673
512;128;17;268435456;10.2198;104.351;17.2353;1902212671
512;128;18;268435456;10.2679;107.462;16.9784;1863685063
512;128;19;268435456;10.2243;147.167;16.6904;1463662888
512;128;20;268435456;10.2154;187.378;16.4732;1201790943
512;128;21;268435456;11.7087;226.572;16.2648;1017437365
512;128;22;268435456;10.2158;138.775;16.1561;1538743731
512;128;23;268435456;10.2242;140.188;16.1601;1526384684
512;128;24;268435456;11.7174;142.083;16.1888;1497185521
512;128;25;268435456;10.2149;182.991;16.162;1227729174
512;128;26;268435456;10.221;223.099;16.1639;1037221310
512;128;27;268435456;10.2194;263.216;16.1589;898107444
512;128;28;268435456;11.6964;301.933;16.1698;791550755
512;128;29;268435456;10.239;176.044;16.1615;1267679791
512;128;30;268435456;10.2281;178.612;16.1626;1252676257
512;128;31;268435456;11.7314;217.375;16.1668;1054427698
512;128;32;268435456;10.2106;258.758;16.1603;911760938
