GPU-Clustering|134217728|3762765030
GPU-Clustering|268435456|3749214003
GPU-Clustering|536870912|3475167453
GPU-Clustering|1073741824|2579907247
GPU-Clustering|2147483648|2444967356
GPU-Clustering|4294967296|1821525961
GPU-Naive|8388608|738961215
GPU-Naive|16777216|5348225416
GPU-Naive|33554432|2547217707
GPU-Naive|67108864|1801481909
GPU-Naive|134217728|1525748591
GPU-Naive|268435456|1402021927
GPU-Naive|536870912|1343425543
GPU-Naive|1073741824|1314836336
GPU-Naive|2147483648|1301043861
GPU-Naive|4294967296|1294072739
CPU|8388608|104228853735
CPU|16777216|3056054769
CPU|33554432|2556317122
CPU|67108864|2053888114
CPU|134217728|1322491726
CPU|268435456|593183318
CPU|536870912|399655748
CPU|1073741824|332427534
CPU|2147483648|304848926
CPU|4294967296|293078837